id;name;city;begin;system;tours_count;min_rating;time_on_game
920014;Тилбург 1957;Санкт-Петербург;12.08;circular;13;2601;80
774516;Аэрофлот Опен 2019;Бишкек;24.06;Olympic;8;2439;130
208505;Ставангер 2015;Алма-Ата;25.07;Olympic;6;2216;152
511069;Политика 1980;Артейхо;20.02;Olympic;7;2341;144
247985;Хогевен 2021;Мартоса;11.03;Swiss;12;2378;46
348270;Ставангер 2002;Хельсинки;09.07;circular;6;2519;157
314915;Турнир претендентов 2008;Тбилиси;07.09;Olympic;11;2446;137
573247;Лондон 2015;Алма-Ата;03.07;Olympic;14;2339;84
674167;Хогевен 1972;Эльче;03.06;circular;15;2422;61
354072;Цюрих 1951;Москва;09.12;circular;8;2358;169
595218;Макартур 2013;Пласенсия;04.02;Swiss;7;2267;17
909998;Хогевен 2018;Хихон;22.06;Swiss;15;2447;87
232966;Лондон 1964;Белград;24.02;Swiss;7;2277;178
240544;Вена 1956;Артейхо;06.03;circular;15;2419;114
889146;Тилбург 1967;Барселона;13.11;Olympic;8;2300;115
968686;Алушта 1952;Душанбе;16.11;circular;11;2386;104
972316;Цюрих 1986;Касерес;24.05;circular;6;2217;29
194627;Пойковский 1970;Мерида;06.06;Swiss;13;2496;19
449637;Линарес 1971;Сьюдад-Реаль;10.04;circular;6;2626;131
246581;Линарес 2007;Аликанте;04.06;Olympic;10;2426;22
611570;Алушта 1964;Хихон;19.09;Olympic;6;2225;136
426159;Гран-при ФИДЕ 1957;Навалькарнеро;03.01;Olympic;10;2358;112
169618;Вейк-ан-Зее 1957;Вроцлав;01.03;circular;11;2479;125
431328;Гран-при ФИДЕ 1954;Сантьяго-де-Компостела;27.01;circular;11;2434;156
746067;Линарес 1951;Рига;07.03;Swiss;11;2436;129
560591;Дортмунд 2024;Вроцлав;22.10;Olympic;10;2341;64
567323;Лондон 1967;Сантьяго-де-Компостела;03.12;circular;10;2314;51
174154;Sinquefield Cup 1957;Барселона;04.09;Olympic;8;2212;133
191475;Вена 2013;Любляна;01.02;circular;13;2535;135
261980;Хогевен 1974;Киев;02.01;Olympic;8;2465;74
665208;Гашиш 1999;Луарка;07.01;circular;11;2387;101
567727;Вейк-ан-Зее 1967;Рига;26.09;circular;10;2366;170
186096;Макартур 1990;Хихон;19.02;Olympic;7;2378;81
109207;Гран-при ФИДЕ 1971;Белград;25.08;circular;10;2513;110
397600;Мемориал Таля 1989;Мартоса;02.04;Olympic;9;2622;57
850202;Биль 1982;Киев;12.02;circular;6;2350;17
635034;Политика 2010;Сеговия;07.12;Olympic;9;2447;92
518722;Ставангер 1988;Краков;28.09;circular;14;2359;173
963730;Алушта 1969;Прага;19.03;Swiss;15;2587;65
744191;Кубок мира 1983;Кадакес;22.11;Swiss;8;2228;83
712759;Хогевен 1993;Луарка;12.09;circular;12;2544;176
291200;Турнир претендентов 1984;Бланес;02.08;Swiss;14;2301;168
643574;Хогевен 1988;Гранада;02.06;Swiss;10;2307;48
283496;Пальма 2017;Минск;09.06;circular;7;2367;73
232126;Гран-при ФИДЕ 1954;Осера;17.01;circular;9;2565;40
842693;Хогевен 2022;Скопье;06.11;Swiss;12;2631;35
953330;Дортмунд 1989;Осера;18.12;circular;13;2424;147
463882;Шамкович 1998;Севилья;06.06;Olympic;7;2634;68
127206;Балтийская цепь 2013;Алма-Ата;05.12;circular;13;2604;37
528302;Линарес 1956;Аликанте;11.10;Olympic;9;2487;35
859023;Sinquefield Cup 1992;Афины;27.06;Swiss;11;2330;63
357733;Сент-Луис 1983;Астана;15.10;circular;12;2649;87
692947;Макартур 1992;Афины;08.09;Swiss;12;2436;81
477454;Алушта 2018;Москва;22.09;circular;12;2263;176
478591;Турнир претендентов 1969;Бургос;25.02;Olympic;10;2499;45
532875;Аэрофлот Опен 2023;Санхенхо;15.06;circular;9;2444;110
408535;Дортмунд 1991;Мадрид;23.12;Swiss;7;2208;30
743835;Шамкович 1991;Санкт-Петербург;22.07;Olympic;13;2591;89
622063;Гран-при ФИДЕ 1995;Кишинев;26.07;Swiss;9;2205;147
996881;Гран-при ФИДЕ 1977;Таллин;28.11;Swiss;9;2433;117
986638;Пойковский 1960;Самора;03.09;Olympic;10;2430;114
424685;Балтийская цепь 1953;Мерида;28.08;circular;11;2628;143
254905;Европа 2016;Сьюдад-Реаль;09.11;circular;11;2238;156
207537;Алушта 1973;Барселона;11.04;Swiss;8;2337;23
656826;Пойковский 2005;Навалькарнеро;24.03;Olympic;7;2252;96
